rank,term,doc_freq,raw_freq,adj_freq,methods,nonambiguous,informative,type,topic,role,notes,example
1337,adjudication,14,36,24,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"In case the GRA after adjudication of facts, comes to the conclusion that a particular oustee has not been granted the relief, he is entitled for; the GRA itself would grant the appropriate relief taking into account the provisions of R & R"
1338,task,14,34,24,spacy,0,non-informative,,,,,"All that we wish to say is that, having regard to the basis on which the claims of the respondents have proceeded thus far, our task is a very limited one."
1339,raj,14,33,24,spacy,0,non-informative,CITATION-REF,,,,"While dealing with the concept of democracy, the majority in Indira Nehru Gandhi v. Raj Narain[53], stated that ""democracy"" as an essential feature of the Constitution is unassailable."
1340,precedent,14,27,24,spacy,0,non-informative,,,,,"In view of the above, this Court has to consider as to whether the NWDT Award provided for any entitlement of major sons to allotment of agricultural land, and if not, whether the judgment in Narmada Bachao Andolan -I could have been consid"
1341,associate,14,26,24,spacy,0,non-informative,,,,,He along with his brother Kitti and other associates committed the offence punishable under Section 302 IPC.
1342,engineer,13,30,24,spacy,0,non-informative,,,,,"Upon the settlement of the final account there arose a bona fide dispute of a substantial character between the contractor and the engineer, who was the arbitrator under the contract, involving a probable conflict of evidence between, them."
1343,publication,12,26,24,spacy,0,non-informative,,,,,"A publication on ""Public Enterprises"" by the Indian Institute of Public Administration, produced before us elaborates on the above aspects."
1344,proportion,11,27,24,spacy,0,non-informative,ASPECT,,,,"It was then contemplated that, after the payment of all debts by the liquidators, these 1936 shares would be distributed amongst the contributories in the proportion of 4 shares of the Himabhai Company to 1 share of the National Mills."
1345,excess,11,24,24,spacy,0,non-informative,,,,,"In case a lower rate should be determined, the ONGC would be obliged to refund the excess amount collected or adjust it against future supplies, as the Court may direct at the time of disposing of the matter finally."
1346,injustice,10,27,24,spacy,0,non-informative,,,,,Reference to the following cases would reveal that the courts have consistently taken the view that they must use this extraordinary power to prevent injustice and secure the ends of justice.
1347,india v.,10,24,24,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"This position has been clearly settled in Hari Vishnu Kamath V. Ahmad Ishaque and others[57], Election Commission of India V. Shivaji[58] and V.S. Achuthanandan V. P.J. Francis and Another[59]."
1348,sugar,9,98,24,spacy,0,non-informative,,,,,Reliance was further placed by Shri Desai on the decision of this Court in Messrs Godavari Sugar Mills Ltd. v. D. K. Worlikar(2) where a notification applicable to the manufacture of sugar and its by-products was held not to cover the head-
1349,mysore,9,27,24,spacy,0,non-informative,,,,,"In this appeal by certificate ,under Article 133 (1) (b) of the Constitution granted by the High Court of Mysore against its judgment and order dated May 31, 1960, the Burmah Shell Oil Storage & Distributing Company of India Ltd. is the app"
1350,state of madhya,9,24,24,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
1351,counter affidavit,9,24,24,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,"In Bharat Singh & v. State of Haryana & , , this Court has observed as under:- ""In our opinion, when a point, which is ostensibly a point of law is required to be substantiated by facts, the party raising the point, if he is the writ petiti"
1352,state of madhya pradesh,9,24,24,yake,1,informative,FORUM-AUTHORITY,,ACTOR,,
1353,zone,8,56,24,spacy,0,non-informative,,,,,The Wage Board as has already been noticed adopted the method employed by the Tariff Commission by dividing the country into four zones or regions but unlike it included every State in each region which had even one unit.
1354,addl,7,26,24,spacy,0,non-informative,,,,,"In that view even if there was any procedural defect in entertaining the review application, it would not be proper and desirable to interfere with the order of the Addl."
1355,bulk,7,24,24,spacy,0,non-informative,,,,,Its lorries loaded with bales first entered the municipal limits at some place near the appellant's premise; and then proceeded towards the railway station where they were unloaded without any sorting Lord Krishna Sugar Mills vs Municipal C
1356,judicial magistrate,7,24,24,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"The complaint was transferred to the court of the Judicial Magistrate, Ranchi."
1357,bail,6,26,24,spacy,0,non-informative,,CRIMINAL,,,"In pending cases, he was granted bail from the courts and in one case he has been convicted and sentenced to undergo rigorous imprisonment for a term of nine years by the Sessions Court, Bangalore."
1358,initiation,6,25,24,spacy,0,non-informative,,,,,"P 1560, which is a letter addressed by Mr, Dave, Under Secretary to the Government of U. P., Home Department to the District Magistrate, Kanpur informing him that the Governor has been pleased to grant sanction to the initiation of proceedi"
1359,appellate assistant commissioner,5,24,24,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The same view was taken by the Appellate Assistant Commissioner in appeal and on further appeal, the Tribunal also affirmed the same view."
1360,federation,4,33,24,spacy,0,non-informative,,,,,"After a series of discussions, the Federation of Gujarat Mills and Industries agreed to a price of Rs. 100 per unit of Ankleswar gas for this supply."
1361,auditor,4,32,24,spacy,0,non-informative,,,,,"The Tribunal relied on the Deceased’s income tax returns and other financial documents, which were supported by the testimonies of the chartered accountant, auditor, and wife of the deceased (Appellant No. 1)."
1362,open market,4,24,24,spacy,0,non-informative,,,,,It may be that uneconomic units may suffer losses but what they cannot achieve in the open market they cannot insist on where price has to be fixed by the government.
1363,appellant company,4,24,24,spacy,1,informative,PARTY-ACTOR,,ACTOR,,The appellant company deals in petrol and other petroleum products which it manufactures in its refineries situated outside the octroi limits of Belgaum Municipality.
1364,expert committee,4,24,24,spacy,0,non-informative,,,,,"The expert committee of Indian Council of Narmada Bachao Andolan vs State Of M.P. & on 11 May, 2011 Agricultural Research (Bhopal) had submitted the report that the land was cultivable."
1365,toll,3,35,24,spacy,0,non-informative,,,,,"The word 'octroi' comes from the word 'octroyer' which means ""to grant' and in its original use meant 'an import' or 'a toll' or (a town duty' on goods brought into a town."
1366,kasturi,3,32,24,"spacy,yake",0,non-informative,,,,,"Allowing the appeal, the Court HELD: Kasturi claimed inheritance not as a widow of her husband Madhua but as the mother of Karua."
1367,judicial notice,3,24,24,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The doctrine of judicial notice, as provided under Section 56, is an exception to this rule. 63."
1368,indian arbitration act,3,24,24,spacy,1,informative,STATUTE-PROVISION,,RULE,,"Vs. M/S SUNDER BROTHERS OF DELHI 20/04/1966 RAMASWAMI, V. RAMASWAMI, V. SUBBARAO, K. CITATION: ACT: Indian Arbitration Act, s. 34-Arbitration agreement-Parties how far bound to have dispute decided by agreed arbitratorOne of the parties fil"
1369,muslims,3,24,24,spacy,0,non-informative,,,,,"There were some villages in Punjab which were mostly inhabited by Muslims, with the result that almost all the lands in those villages were owned by Muslim proprietors who, as a result of their proprietary interest in those Lands had a prop"
1370,regulatory body,3,24,24,spacy,0,non-informative,,,,,"Pursuant to the said direction, a notification dated 17.09.2002 was issued by the Central Government constituting the CEC as a statutory authority under Section 3(3) of the Environment (Protection) Act, 1986. was initially constituted, inas"
1371,operator,2,29,24,spacy,0,non-informative,,,,,"By Virtue of the Scheme, the existing permits of any operator will not be cancelled."
1372,subletting,2,28,24,spacy,0,non-informative,,,,,A statutory tenant cannot sublet the premises because subletting involves a transfer of the right to enjoy property for a certain period in consideration of price paid or promised and a statutory tenant has merely a personal right to resist
1373,financial position,2,24,24,spacy,0,non-informative,ASPECT,,,,"2 S.C.R. 16, referred to However, notwithstanding the fact that a fair wage has been fixed by the Board which would be applicable to all the units in the region for which wage has been fixed, it may be open to any particular unit to plead t"
1374,cost plus basis,2,24,24,spacy,0,non-informative,ASPECT,,,,"At this stage of development of the industry a much wider latitude is permissible in the fixation of prices than the imposition of a ""no profit, no loss"" basis or a ""cost plus"" basis on the producer."
1375,agrarian reform,2,24,24,spacy,0,non-informative,,,,,State Legislature whether competent to make law relating to agrarian reform in respect of property which by process of law vested in Central Government or Custodian.
1376,safety measure,2,24,24,spacy,0,non-informative,,,,,Details of further safety measure adopted have already been elaborately stated in the counteraffidavit filed by NPCIL on 26.9.2012.
1377,nationalisation,1,26,24,spacy,0,non-informative,,,,,"Vs. THE STATE OF TAMIL NADU & OTHERS DATE OF JUDGMENT09/01/1973 GROVER, A.N. GROVER, A.N. MUKHERJEA, B.K. CITATION: 1973 (3) 222 1973 (1) 336 RF 1988 SC 501 (5) R 1988 SC1353 (18) R 1989 SC2105 (6) RF 1990 SC1277 (5) ACT: Constitution of In"
1378,mudumalai,1,25,24,spacy,0,non-informative,,,,,"Hospitality Association Of Mudumalai vs In Defendent Of Environment And Animals ... on 14 October, 2020"
1379,iaea,1,25,24,spacy,0,non-informative,,,,,"International Atomic Energy Agency (IAEA) has reported that in the year 2007, there were 439 Nuclear Power Reactors in operation in the world operating in thirty one countries."
1380,hazura singh,1,24,24,"spacy,yake",0,non-informative,,,,,"The prosecution case was as follows : Gurdit Singh and Hazura Singh, Hazura Singh married twice."
1381,nclt,1,24,24,spacy,0,non-informative,,,,,4 Hereinafter also referred to as ‘the Adjudicating Authority’ or ‘the Tribunal’ or ‘NCLT’.
